,Type,Title,Country,Director,Cast,Release Year,Rating,Duration,Genres,Vote Average
742,TV Show,Downton Abbey,GB,Unknown,"Huge Bonneville, Michelle Dockery, Maggie Smith, Jim Carter, Robert James-Collier, Dan Stevens, Elizabeth McGovern",2016,TV-14,6 Seasons,"Drama, Historical",6.967
743,TV Show,Dororo,JP,Unknown,"Hiroki Suzuki, Rio Suzuki, Naoya Uchida, Shoya Chiba, Mutsumi Sasaki",2019,TV-NR,1 Season,TV Shows,6.967
744,TV Show,Dora the Explorer,US,Unknown,"Dora the Explorer, Day,  Howie",2007,TV-Y,2 Seasons,Kids,6.967
1071,TV Show,"Gattu, Chinkli Aur Adventures",FR,Unknown,Unknown,2021,ALL,1 Season,"Animation, Kids",6.955
1073,TV Show,"LOL: Qui rit, sort!",FR,Unknown,"Phlippe Lacheau, Julien Arruti, Tarek Boudali, Fadily Camara, Reem Kherici, Kyan Khojandi, Bérengère Krief, Hakim Jemili, Gérard Jugnot, Alexandra Lamy, Inès Reg",2021,16+,1 Season,"Comedy, Unscripted",6.955
805,TV Show,Clifford the Big Red Dog,US,Unknown,"Hannah Levinson, Adam Sanders",2021,ALL,6 Seasons,Kids,6.947
525,TV Show,Little Women: NY,Unknown,Unknown,"Lila Call, Misty Irwin",2016,TV-14,2 Seasons,TV Shows,6.939
652,TV Show,Grand Blue Dreaming,JP,Unknown,"Yuma Uchida, Ryohei Kimura",2018,NR,1 Season,TV Shows,6.93
129,TV Show,The Passing Bells,PL,Unknown,"Patrick Gibson, Jack Lowden, Sabrina Bartlett, Eryka Karkuszewska, Jennifer Hennessy, Simon Kunz, Matthew Aubrey",2014,13+,1 Season,TV Shows,6.9
984,TV Show,Paradise City,US,Unknown,"Bella Thorne, Cameron Boyce, Drea de Matteo, Andy Biersack, Ryan Hurst, Fairuza Balk, Mark Boone Junior, Booboo Stewart",2021,18+,1 Season,"Arts, Entertainment, and Culture, Drama",6.9
1265,TV Show,Let's enjoy Kenya safari like a popular online tour!,Unknown,Unknown,Unknown,2020,TV-NR,1 Season,Documentary,6.886
327,TV Show,Rev & Roll,GB,Unknown,Unknown,2019,TV-Y,1 Season,"Animation, Kids",6.88
770,TV Show,Dangerous Roads,GB,Unknown,"Angus Deayton, Mariella Frostrup, Hugh Bonneville, Jessica Hynes",2012,TV-14,3 Seasons,"Documentary, Special Interest",6.875
74,TV Show,Tommy Little: Self-Diagnosed Genius,US,Unknown,Tommy Little,2020,16+,1 Season,"Arts, Entertainment, and Culture",6.846
663,TV Show,Glee,US,Unknown,Unknown,2015,TV-PG,7 Seasons,"Comedy, Drama",6.845
28,TV Show,Wildest Places,AU,Unknown,Unknown,2019,ALL,3 Seasons,"Documentary, Special Interest",6.8
540,TV Show,Legend of Fuyao,CN,Unknown,"Yang Mi, Ethan Juan, Zhang Dongshen, Hu Ke",2018,18+,1 Season,"Drama, Romance",6.8
937,TV Show,All or Nothing: Tottenham Hotspur,GB,Unknown,Unknown,2020,16+,1 Season,"Documentary, Sports, Unscripted",6.8
1244,TV Show,Tales From The Cryptkeeper,CA,Unknown,John Kassir,1999,TV-G,3 Seasons,"Animation, Kids",6.792
1243,TV Show,The Coleman Show,US,Unknown,"Eric Epps, Khadijah Freeman, Cayen Martin, Angelic Prom, Danny Froze, Henri Sallis, Xander Coleman, Calvin Coleman, Timothy ""Prince T Dub"" Hayes",2021,13+,1 Season,"Comedy, Drama",6.792
67,TV Show,Tougher In Alaska,US,Unknown,Geo Beach,2008,TV-PG,1 Season,TV Shows,6.75
604,TV Show,I Survived . . .,JP,Unknown,Unknown,2008,TV-14,1 Season,TV Shows,6.75
72,TV Show,Top Gear America (2017),Unknown,Unknown,"William Fichtner, Tom Ford, Antron Brown",2017,TV-14,1 Season,Special Interest,6.75
1332,TV Show,Subete a mi Moto,PR,Unknown,"Yamil Ureña, Braulio Castillo, Sisan Chiong, Edgar Cuevas, Joseette Vidal, Rocio Verdejo, Azul Guaita, Elaine Haro",2020,TV-NR,1 Season,Drama,6.748
1379,TV Show,ACT 2 - Series 9,IT,Unknown,1,2021,ALL,1 Season,TV Shows,6.725
589,TV Show,INXS: Never Tear Us Apart,AU,Unknown,"Luke Arnold, Damon Herriman, Hugh Sheridan, Andrew Ryan, Alex Williams, Ido Drent, Nick Masters",2014,16+,1 Season,"Drama, Romance",6.722
608,TV Show,Hustle,GB,Unknown,"Robert Glenister, Robert Vaughn, Rob Jarvis, Adrian Lester, Marc Warren, Jaime Murray, Matt Di Angelo, Kelly Adams, Bill Bailey",2012,16+,8 Seasons,"Action, Comedy, Drama",6.714
1288,TV Show,Lotus Cup Europe Championship,GB,Unknown,Unknown,2021,TV-Y7,1 Season,"Documentary, Sports",6.7
1005,TV Show,Pastel Yumi: The Magic Idol,JP,Unknown,Mariko Shiga,2020,7+,1 Season,"Animation, Comedy, Kids",6.7
644,TV Show,Growing Up Gotti,US,Unknown,"Carmine Agnello Jr, Frank Agnello, John Agnello",2005,TV-PG,3 Seasons,TV Shows,6.7
1290,TV Show,Alice in Wonderland,US,Unknown,"Kate Dorning, Ian Wallace, Jonathan Cecil",1986,7+,1 Season,"Kids, Science Fiction",6.7
29,TV Show,Wild North,NO,Unknown,Unknown,2014,7+,1 Season,"Documentary, Special Interest",6.7
912,TV Show,Animal Babies: First Year on Earth,GB,Unknown,Arina Ii,2019,TV-PG,1 Season,TV Shows,6.693
808,TV Show,Classic Popeye,US,Unknown,"Jack Mercer, Mae Questel, Jackson Beck",1960,TV-Y,1 Season,"Animation, Kids",6.667
682,TV Show,Fungus The Bogeyman,GB,Unknown,"Timothy Spall, Victoria Wood, Andy Serkis, Paul Kaye, Keely Hawes, Paul Lancaster, Marc Warren, Joanna Scanlan, Fern Deacon",2015,7+,1 Season,"Animation, Comedy, Kids",6.667
592,TV Show,Inside Men,Unknown,Unknown,"Steven Mackintosh, Warren Brown, Ashley Walters, Nicola Walker, Kierston Wareing",2012,TV-14,1 Season,Drama,6.664
590,TV Show,Invisible TOKYO (English Subtitled),AU,Unknown,"Tetsuya Komuro, Elaiza Ikeda, Akira Morikawa, Noriyoshi Murakami, Kotomi Kuga",2017,TV-NR,1 Season,TV Shows,6.664
775,TV Show,Cuna de Lobos,MX,Unknown,"Paz Vega, Gonzalo García Vivanco, Paulette Hernandez, Diego Amozurrutia, Jose Pablo Minor, Osvaldo de Leon, Azela Robinson, Carlos Aragon, Nailea Norvind, Flavio Medina, Leonardo Daniel",2019,TV-NR,1 Season,TV Shows,6.626
1266,TV Show,JUHOU 2405 Reason of my death,Unknown,Unknown,Ai Takahashi,2012,TV-NR,1 Season,Horror,6.6
599,TV Show,Ilana Glazer: The Planet Is Burning,US,Unknown,Ilana Glazer,2020,16+,1 Season,Comedy,6.6
926,TV Show,America's War on Drugs,Unknown,Unknown,Unknown,2017,TV-14,1 Season,"Documentary, Special Interest",6.583
343,TV Show,RAGE OF BAHAMUT VIRGIN SOUL,JP,Unknown,"Sumire Morohoshi, Yuuichirou Umehara, Hiroyuki Yoshino, Go Inoue, Masakazu Morita",2017,TV-NR,1 Season,Anime,6.581
56,TV Show,Under the Power,CN,Unknown,"Allen Ren, Seven Tan, Han Dong",2019,TV-14,1 Season,"Drama, Romance",6.571
66,TV Show,Trail of Tears,US,Unknown,various,2008,13+,1 Season,"Documentary, Special Interest",6.556
563,TV Show,KenIchi: The Mightiest Disciple (English Dub),KR,Unknown,"Josh Grelle, Carrie Savage",2007,13+,4 Seasons,"Action, Animation, Anime",6.545
1205,TV Show,Babar,FR,Unknown,"Gordon Pinsent, Stuart Stone, Janet-Laine Green, Tara Strong",2000,TV-Y,4 Seasons,"Animation, Comedy, Kids",6.537
1204,TV Show,Helix Studios Presents,CN,Unknown,"Alex Riley, Travis Stevens, Max Carter, Johnny Hands, Garrett Kinsley, Riley Finch, Jacob Hansen, Trevor Harris",2020,18+,2 Seasons,"Comedy, LGBTQ, Romance",6.537
328,TV Show,Return to the Mackenzie - Expedition Overland,GB,Unknown,"Clay Croft, Ty Heaps, Kurt Williams, Jeff Downer, Ryan Erickson, Scott Cahill, Zack Johnson",2016,TV-PG,1 Season,"Action, Documentary, Special Interest",6.52
104,TV Show,The Underground Railroad,US,Unknown,"Thuso Mbedu, Joel Edgerton, Chase W. Dillon, William Jackson Harper, Will Poulter",2021,TV-MA,1 Season,Drama,6.5
100,TV Show,The Witching Season,US,Unknown,"Michael Ballif, James Morris, Hailey Nebeker, Stevie Dutson, Sean Hunter, Emily Broschinsky, Karlee Broschinsky, Anita Rosenbaum, Samuel Morris, Charla Cochran Bocchicchio",2018,13+,1 Season,Horror,6.5
745,TV Show,DIVE!!,JP,Unknown,Unknown,2017,TV-NR,1 Season,TV Shows,6.5
1159,TV Show,Spides,DE,Unknown,"Rosabell Laurenti Sellers, Falk Hentschel, Florence Kasumba, Désirée Nosbusch, Francis Fulton-Smith, Susanne Wuest, Damian Hardung, Aleksander Jovanovic, Harvey Friedman, Anna Bullard, Lion-Russell Baumann, Artjom Gilz, Branko Tomovic, Mathis Wernecke",2020,16+,1 Season,"Science Fiction, Suspense",6.5
466,TV Show,Murphy's Law,TW,Unknown,"James Nesbitt, Del Synnott, Sarah Berger, Michael Feast",2007,18+,5 Seasons,Action,6.479
464,TV Show,My Greatest Dishes,GB,Unknown,Sean Pertwee,2019,7+,1 Season,"Documentary, Special Interest",6.479
786,TV Show,Counting Cars,US,Unknown,Unknown,2015,TV-PG,2 Seasons,Special Interest,6.461
1133,TV Show,Hook City,Unknown,Unknown,"Leighton Bryce Jennings, Jacobi Howard, Messiah Amaraham, Kevin Richmond",2021,Unknown,1 Season,"Action, Drama",6.455
1139,TV Show,Dough boy,CA,Unknown,"Braylon Jones, Malan B., Emanuel Vaneckelen, Melinda Winstead, James Thornton, John Kokoszka, Scott Starkweather",2021,18+,1 Season,"Drama, Romance",6.435
311,TV Show,Ruyi's Royal Love in The Palace,CN,Unknown,"Zhou Xun, Huo Jianhua",2018,13+,1 Season,Drama,6.432
360,TV Show,Prisoners' Wives,GB,Unknown,"Pippa Haywood, Polly Walker, Phoebe Dynevor, Iain Glen, Harry McEntire, Adam Gillen, Don Gayle, David Bradley, Adrian Rawlins, Phillip Mulhern, Emma Rigby, Natalie Gavin",2013,18+,2 Seasons,Drama,6.4
359,TV Show,Project Restoration,US,Unknown,"Marianne Suhr, Griff Rhys Jones, Ptolemy Dean",2016,7+,1 Season,"Special Interest, Unscripted",6.4
269,TV Show,Snog Marry Avoid?,GB,Unknown,Jenny Frost,2009,16+,2 Seasons,TV Shows,6.39
272,TV Show,Sneaky Pete,US,Unknown,"Libe Barer, Marin Ireland, Shane McRae, Peter Gerety, Margo Martindale, Giovanni Ribisi",2019,18+,3 Seasons,Drama,6.39
21,TV Show,WordWorld,US,Unknown,Unknown,2007,TV-G,1 Season,Kids,6.38
20,TV Show,World Food Championships,US,Unknown,Tiffany Derry,2014,TV-PG,1 Season,TV Shows,6.38
134,TV Show,The Notekins - Musical Friends,DK,Unknown,Unknown,2015,ALL,1 Season,"Animation, Kids, Special Interest",6.3
883,TV Show,Basil Rathbone Sherlock Holmes in Color!,US,Unknown,"Basil Rathbone, Nigel Bruce, Patricia Morison",1946,7+,1 Season,Suspense,6.3
422,TV Show,Patrick Melrose,US,Unknown,"Benedict Cumberbatch, Jennifer Jason Leigh, Hugo Weaving, Jessica Raine, Indira Varma",2018,TV-MA,1 Season,Drama,6.3
130,TV Show,The Paradise,GB,Unknown,"Joanna Vanderham, Emun Elliott, Elaine Cassidy, Sarah Lancashire",2013,TV-PG,2 Seasons,"Drama, Romance",6.3
131,TV Show,The Paleo Way,GB,Unknown,Pete Evans,2016,ALL,1 Season,"Documentary, Special Interest",6.3
1079,TV Show,Flower Boy Next Door,KR,Unknown,"Park Shin-hye, Yoon Shi-yoon, Kim Ji-hoon",2013,13+,1 Season,"Comedy, Drama, Romance",6.3
1013,TV Show,The Supa Strikas,CA,Unknown,Unknown,2013,7+,3 Seasons,Kids,6.25
415,TV Show,PEEP and the Big Wide World,CA,Unknown,Unknown,2011,TV-Y,1 Season,Kids,6.244
226,TV Show,Tattletales,US,Unknown,Bert Convy,1974,TV-PG,1 Season,Unscripted,6.208
1050,TV Show,LooLoo Kids,US,Unknown,LooLoo Kids,2021,ALL,1 Season,"Animation, Kids",6.2
1049,TV Show,The Rebel Princess,CN,Unknown,"Zhang Ziyi, Zhou Yiwei",2021,TV-14,1 Season,"Drama, Romance",6.2
1165,TV Show,The Hunting Public,CN,Unknown,"Greg Clements, Aaron Warbritton, Zach Ferenbaugh, Jake Huebschman",2020,13+,4 Seasons,"Action, Documentary, Sports",6.2
1260,TV Show,Postcards From...,US,Unknown,"Alex Smyth, Laura Bain, Shelby Travers, Grant Hardy, Bethany Deer",2020,7+,2 Seasons,Action,6.2
634,TV Show,Harmony with A R Rahman,IN,Unknown,"A R Rahman, Sajith Vijayan, Bahauddin Dagar, Bedabati, Mickma Tshering Lepcha",2018,NR,1 Season,"Arts, Entertainment, and Culture, Documentary",6.2
1263,TV Show,Stand By Me,CN,Unknown,"Yi Cheng, Yuxi Zhang",2021,18+,1 Season,"Drama, Romance",6.2
1262,TV Show,The G,US,Unknown,"William L. Johnson, Morocco Omari, Antoine McKay, Donny Williams, Christie Tate, Guy Spencer, James Gordon",2021,18+,1 Season,Drama,6.2
837,TV Show,Caillou,CA,Unknown,"Evan Smirnow, Ellen David, Jennifer Seguin, Merlee Shapiro, Pat Fry, Annie Bovaird, Jesse Vinet, Bob Stutt, Pauline Little, Melissa Pirrera, Al Gravelle, George Morris, Graeme Jokic, Pier Paquette, Sofie Holland, Matt Ficner, Brigid Tierney, Raquel Trinidad, Jaclyn Linetsky, Bryn McAuley, Ryan Tilson, Tim Gosley, Tyler Brody Stein, Vanessa Lengies, Cara Reynolds, Dallas Jokic, Jessica Kardos, François Sasseville, Holly Gauthier-Frankel, Claudie Verdant, Sarah Johnson, Steve Songs, Matt Fincer, David Tyler, Johanne Garneau, Sannie Bovaird, Addison Holley, Helen King, Melissa Pirerra, Diane Arcand, Madeleine Arsenault, Charlotte Bernard, Violette Chauveau, Hugolin Chevrette-Landesque, Claudia-Laurie Corbeil, Nathalie Coupal, Louis Philippe Dandenault, Mario Desmarais, Sophie Faucher, Gilbert Lachance, Sophie Léger",2010,TV-G,1 Season,Kids,6.2
635,TV Show,Happy Sugar Life,JP,Unknown,"Kana Hanazawa, Misaki Kuno, Yumiri Hanamori, Natsuki Hanae, Aya Suzaki",2018,TV-NR,1 Season,TV Shows,6.2
1022,TV Show,Pinkfong! Sports Club,Unknown,Unknown,Unknown,2021,ALL,1 Season,"Animation, Kids",6.179
349,TV Show,Python for Everybody,US,Unknown,Dr. Charles Russell Severance,2016,Unknown,1 Season,Special Interest,6.167
821,TV Show,Celebrity Paranormal Project,US,Unknown,"Mariel Hemingway, Julio Iglesias Jr.",2006,16+,1 Season,TV Shows,6.1
1442,TV Show,Cavendish,CA,Unknown,"Maddy Bryce, Ewan Petrie, Robert Carr",2021,13+,1 Season,"Comedy, Drama",6.1
611,TV Show,Hunters,US,Unknown,"Al Pacino, Logan Lerman, Jerrika Hinton, Lena Olin, Saul Rubinek, Carol Kane, Josh Radnor, Greg Austin, Tiffany Boone, Louis Ozawa, Kate Mulvany, Dylan Baker",2020,18+,1 Season,"Adventure, Drama",6.091
698,TV Show,Fluffy's Food Adventures,US,Unknown,"Gabriel Iglesias, Rick Gutierrez, Martin Moreno",2017,TV-14,3 Seasons,"Comedy, Special Interest, Unscripted",6.05
1450,TV Show,Ivanhoe,GB,Unknown,"Stephen Waddington, Christopher Lee, Siân Phillips, Ronald Pickup",1997,13+,1 Season,"Action, Drama, Romance",6.045
1449,TV Show,Song of Youth,CN,Unknown,"Bai Lu, Wang Yi Zhe, Gina Jin Xu, Jackie Li, He Lei, Zhang Zheng Yang",2021,13+,1 Season,"Comedy, Drama, Kids",6.045
1466,TV Show,Kids In The Hall,CA,Unknown,Unknown,1995,TV-14,5 Seasons,"Arts, Entertainment, and Culture, Comedy",6.045
1448,TV Show,Supermansion,US,Unknown,Unknown,2019,TV-NR,3 Seasons,"Animation, Comedy",6.045
1446,TV Show,Startup,US,Unknown,Unknown,2016,18+,3 Seasons,TV Shows,6.045
1467,TV Show,Glass Room,CA,Unknown,"Elizaveta Maiskaya, Vsevolod Boldin, Alexander Konstantinov, Anastasia Basha",2019,16+,1 Season,Drama,6.045
1468,TV Show,DaFUNdamentals Series,CA,Unknown,"Emile Crawford, Randall Crawford, Jon Ward",2021,TV-Y,1 Season,"Animation, Kids",6.045
1460,TV Show,Red Oaks,US,Unknown,"Craig Roberts, Ennis Esmer, Oliver Cooper, Alexandra Turshen, Richard Kind, Paul Reiser",2017,18+,3 Seasons,Comedy,6.045
1469,TV Show,Terrahawks,GB,Unknown,"DENISE BRYER, WINDSOR DAVIES, JEREMY HITCHEN, ANNE RIDLER, BEN STEVENS",1983,ALL,3 Seasons,TV Shows,6.045
670,TV Show,Ghost Inside My Child - Special,US,Unknown,Unknown,2016,TV-14,1 Season,TV Shows,6.025
1341,TV Show,Momo Character Classic,GB,Unknown,Unknown,2014,TV-Y,3 Seasons,"Animation, International, Kids",6.0
1119,TV Show,Adventures of Paddingon Bear,GB,Unknown,Unknown,1998,TV-Y,2 Seasons,"Animation, Kids",6.0
518,TV Show,Lost In Oz,US,Unknown,"Ashley Boettcher, Alexander Polinsky, Grey Griffin, Keith Ferguson, Kath Soucie, Stephen Stanton, Jorge Diaz, Chris Cox, Nika Futterman",2018,ALL,2 Seasons,Kids,6.0
519,TV Show,Lorena,US,Unknown,Unknown,2019,16+,1 Season,Documentary,6.0
163,TV Show,The Island with Bear Grylls,GB,Unknown,Bear Grylls,2017,16+,4 Seasons,"Documentary, Special Interest, Unscripted",6.0
240,TV Show,Superbook,Unknown,Unknown,"Shannon Chan-Kent, Sam Vincent, Cathy Weseluck",2015,7+,3 Seasons,"Animation, Faith and Spirituality, Kids",6.0
962,TV Show,A Girl and Three Sweethearts,JP,Unknown,"Kento Yamazaki, Mirei Kiritani, Sakurako Ohara, Shohei Miura, Shuhei Nomura",2016,13+,1 Season,"Comedy, Romance",6.0
1247,TV Show,"Eerie, Indiana",US,Unknown,"Mary-Margaret Humes, Omri Katz, Justin Shenkarow",1993,TV-Y7,1 Season,"Comedy, Drama, Kids",6.0
1248,TV Show,The Amethyst Earring,US,Unknown,"Anna Kuzina, Katerina Tyshkevich, Vladimir Zayats",2018,16+,1 Season,Drama,6.0
513,TV Show,"Luis, el sabio del éxito",Unknown,Unknown,Luis Aragones,2018,TV-NR,1 Season,Documentary,6.0
516,TV Show,Love and Marriage,KR,Unknown,"Alison Steadman, Stewart Wright, Ashley Jensen, Graeme Hawley, Zoe Telford, Celia Imrie, Niky Wardley, Duncan Preston, James McArdle, Larry Lamb, Bruce Alexander, Jessica Sula, John Heffernan",2013,13+,1 Season,"Comedy, Drama",6.0
893,TV Show,Bad Ink,Unknown,Unknown,Rob Ruckus,2014,TV-14,2 Seasons,"Documentary, Special Interest, Unscripted",6.0
1333,TV Show,Jungle Beat,ZA,Unknown,Unknown,2021,ALL,1 Season,"Animation, Kids",6.0
843,TV Show,Breathe: Into the Shadows,IN,Unknown,"Abhishek A. Bachchan, Amit Sadh, Nithya Menen, Saiyami Kher, Hrishikesh Joshi, Shrikant Verma",2020,13+,1 Season,"Drama, Suspense",6.0
842,TV Show,Bring It,KR,Unknown,Unknown,2018,TV-PG,2 Seasons,TV Shows,6.0
810,TV Show,Chris Tall Presents...,DE,Unknown,Chris Tall,2019,16+,1 Season,"Arts, Entertainment, and Culture, Comedy",6.0
362,TV Show,Prime Suspect: Tennison,GB,Unknown,Unknown,2017,TV-14,1 Season,"Drama, Historical, Suspense",6.0
223,TV Show,Technological Marvels of the Ancient World,US,Unknown,Unknown,2005,7+,1 Season,"Adventure, Documentary, Military and War",5.9
950,TV Show,Agatha Christie's The Pale Horse,GB,Unknown,"Rufus Sewell, Sean Pertwee, Kaya Scodelario, Bertie Carvel, Sheila Atim, Christopher Bianchi, Madeleine Bowyer, Georgina Campbell, Kim Chapman, Kathy Kiera Clarke, James Fleet, Poppy Gilbert, Nicky Goldie, Henry Lloyd-Hughes, Ellen Robertson, Claire Skinner, Rita Tushingham, Sarah Woodward, Martin Buchan, Ben Nathan",2020,16+,1 Season,TV Shows,5.9
1285,TV Show,Boris and Rufus,AR,Unknown,Unknown,2021,ALL,1 Season,"Animation, Kids",5.8
721,TV Show,Fake Princess,CN,Unknown,"Zhao Yi Qin, Eleanor Lee, Garvey Jin, Chen Si Yu",2020,18+,1 Season,"Comedy, Romance",5.8
529,TV Show,Lights Out!,US,Unknown,Unknown,2012,TV-PG,1 Season,"Documentary, Special Interest",5.714
331,TV Show,Regular Heroes,US,Unknown,"Alicia Keys, J.J. Watt, Chelsea Phaire",2020,13+,1 Season,Unscripted,5.7
169,TV Show,The House of Cards Trilogy,GB,Unknown,"Isla Blair, Ian Richardson, Julian Fellowes, Nick Brimble",1995,18+,3 Seasons,Drama,5.7
886,TV Show,Barbie - Vlogger,Unknown,Unknown,America Young,2020,ALL,2 Seasons,"Animation, Kids",5.675
84,TV Show,To Tell The Truth with Bud Collyer,US,Unknown,Bud Collyer,1961,TV-G,1 Season,TV Shows,5.6
63,TV Show,Tudor Monastery Farm,GB,Unknown,"Peter Ginn, Ruth Goodman, Tom Pinfold, Geraldine James",2013,7+,1 Season,Documentary,5.6
85,TV Show,Tin Star,GB,Unknown,"Tim Roth, Christina Hendricks, Genevieve O'Reilly",2019,18+,2 Seasons,"Drama, Suspense",5.6
731,TV Show,El Presidente,CL,Unknown,"Andrés Parra, Paulina Gaitán, Karla Souza",2020,16+,1 Season,"Action, Drama, International",5.59
648,TV Show,Great Interior Design Challenge,GB,Unknown,"Sasha Bikoff, Tom Dyckhoff, Daniel Hopwood",2014,TV-PG,1 Season,"Special Interest, Unscripted",5.579
1389,TV Show,The Cat in the Hat Knows a Lot About That!,CA,Unknown,Martin Short,2018,TV-G,2 Seasons,"Animation, Kids",5.534
1387,TV Show,True Tori,US,Unknown,"Tori Spelling, Dean McDermott",2014,TV-14,1 Season,TV Shows,5.534
1420,TV Show,Hightown,US,Unknown,"James Badge Dale, Monica Raymund, Riley Voelkel, Shane Harper, Atkins Estimond, Amaury Nolasco, Dohn Norwood",2020,TV-MA,1 Season,"Drama, LGBTQ, Suspense",5.5
772,TV Show,Dance Moms Miami,US,Unknown,"Angel Armas, Debi Epstein",2012,TV-PG,1 Season,"Documentary, Drama, Unscripted",5.442
733,TV Show,EIC vs The World,MX,Unknown,Unknown,2017,TV-NR,1 Season,"Arts, Entertainment, and Culture, Comedy, International",5.3
1214,TV Show,Super Password,US,Unknown,Bert Convy,1984,TV-G,1 Season,Unscripted,5.2
1206,TV Show,The Wolf Princess,CN,Unknown,"Jason Gu, Ning Kang, Huizi Sheng, Jicai Gao",2021,18+,1 Season,"Comedy, Romance",5.2
767,TV Show,Daniel Tiger and More Snowy Adventures,US,Unknown,"Addison Holley, Amariah Faulkner, Dalila Bela, Ellen Kennedy, Filip Geljo, Heather Bambrick, Hyuma Frankowski, Jaden Waldman, Jake Beale, Jayce Bartok, Jules Arita Koostachin, Justice Quiroz, Katrina Salisbury, Kayla Erickson, Lorne Cardinal, Michelle Thrush, Millie Davis, Molly Lloyd, Nicholas Kaegi, Pawaken Koostachin-Chakasim, Ronald Dean Harris, Sean Michael Kyer, Sequoia Janvier, Shawn Youngchief, Stuart Ralston, Ted Dykstra",2020,TV-Y,1 Season,Kids,5.0
1149,TV Show,Luxe Listings Sydney,AU,Unknown,"Gavin Rubinstein, Simon Cohen, D'Leanne Lewis",2021,NR,1 Season,Unscripted,5.0
447,TV Show,Numbers Parade Series,US,Unknown,Unknown,2015,ALL,1 Season,"Animation, Kids, Special Interest",5.0
442,TV Show,Odd Squad,US,Unknown,"Dalila Bela, Filip Geljo, Millie Davis",2014,TV-Y,1 Season,Kids,5.0
436,TV Show,ONIHEI,JP,Unknown,"Kenyu Horiuchi, Daisuke Namikawa, Romi Pak",2017,TV-NR,1 Season,Anime,5.0
1334,TV Show,Honey and Clover,JP,Unknown,"Yuuji Ueda, Takako Honda, Haruka Kudou",2005,13+,1 Season,"Comedy, Drama, Romance",5.0
1336,TV Show,All Or Nothing: Toronto Maple Leafs,CA,Unknown,Unknown,2021,TV-14,1 Season,Sports,5.0
